ard_id;gene_allele;feature_type;nucVar;drug
aac(3)-Ia_n1;aac(3)-Ia;allele_match;aac(3)-Ia_n1;Astromicin
aac(3)-Ia_n6;aac(3)-Ia;allele_match;aac(3)-Ia_n6;Astromicin
aac(3)-Ib_n2;aac(3)-Ib;allele_match;aac(3)-Ib_n2;Astromicin
aac(3)-Ic_n1;aac(3)-Ic;allele_match;aac(3)-Ic_n1;Astromicin
aac(3)-IIa_n3;aac(3)-IIa;allele_match;aac(3)-IIa_n3;Gentamicin
aac(3)-IId_n1;aac(3)-IId;allele_match;aac(3)-IId_n1;Apramycin
aac(3)-IId_n2;aac(3)-IId;allele_match;aac(3)-IId_n2;Apramycin
aac(3)-IId_n3;aac(3)-IId;allele_match;aac(3)-IId_n3;Apramycin
aac(3)-IIe_n1;aac(3)-IIe;allele_match;aac(3)-IIe_n1;Apramycin
aac(3)-IIe_n3;aac(3)-IIe;allele_match;aac(3)-IIe_n3;Apramycin
aac(3)-IIg_n1;aac(3)-IIg;allele_match;aac(3)-IIg_n1;Gentamicin
aac(3)-IV_n2;aac(3)-IV;allele_match;aac(3)-IV_n2;Apramycin
aac(3)-VIa_n2;aac(3)-VIa;allele_match;aac(3)-VIa_n2;Gentamicin
aac(6')-Ib_n10;aac(6')-Ib;allele_match;aac(6')-Ib_n10;Amikacin
aac(6')-Ib_n13;aac(6')-Ib;allele_match;aac(6')-Ib_n13;Amikacin
aac(6')-Ib_n2;aac(6')-Ib;allele_match;aac(6')-Ib_n2;Amikacin
aac(6')-Ib_n26;aac(6')-Ib;allele_match;aac(6')-Ib_n26;Amikacin
aac(6')-Ib_n3;aac(6')-Ib;allele_match;aac(6')-Ib_n3;Amikacin
aac(6')-Ib_n6;aac(6')-Ib;allele_match;aac(6')-Ib_n6;Amikacin
aac(6')-Ib_n8;aac(6')-Ib;allele_match;aac(6')-Ib_n8;Amikacin
aac(6')-Ib_n9;aac(6')-Ib;allele_match;aac(6')-Ib_n9;Amikacin
aac(6')-Ib-cr_n1;aac(6')-Ib;allele_match;aac(6')-Ib-cr_n1;Amikacin
aac(6')-Ib-cr_n2;aac(6')-Ib;allele_match;aac(6')-Ib-cr_n2;Amikacin
aac(6')-Ib-cr5_n1;aac(6')-Ib;allele_match;aac(6')-Ib-cr5_n1;Amikacin
aac(6')-Ib-Hangzhou_n1;aac(6')-Ib;allele_match;aac(6')-Ib-Hangzhou_n1;Amikacin
aac(6')-Ib'_n1;aac(6')-Ib;allele_match;aac(6')-Ib'_n1;Gentamicin
aac(6')-Ib11_n2;aac(6')-Ib;allele_match;aac(6')-Ib11_n2;Amikacin
aac(6')-Ib3_n1;aac(6')-Ib;allele_match;aac(6')-Ib3_n1;Amikacin
aac(6')-Ib4_n1;aac(6')-Ib;allele_match;aac(6')-Ib4_n1;Gentamicin
aac(6')-IIc_n1;aac(6')-IIc;allele_match;aac(6')-IIc_n1;Gentamicin
aac(6')-Ip_n4;aac(6')-Ip;allele_match;aac(6')-Ip_n4;Amikacin
aadA_n10;aadA;allele_match;aadA_n10;Spectinomycin
aadA_n11;aadA;allele_match;aadA_n11;Spectinomycin
aadA_n19;aadA;allele_match;aadA_n19;Spectinomycin
aadA_n23;aadA;allele_match;aadA_n23;Spectinomycin
aadA_n25;aadA;allele_match;aadA_n25;Spectinomycin
aadA_n27;aadA;allele_match;aadA_n27;Spectinomycin
aadA_n3;aadA;allele_match;aadA_n3;Spectinomycin
aadA_n34;aadA;allele_match;aadA_n34;Spectinomycin
aadA_n35;aadA;allele_match;aadA_n35;Spectinomycin
aadA_n38;aadA;allele_match;aadA_n38;Spectinomycin
aadA_n41;aadA;allele_match;aadA_n41;Spectinomycin
aadA_n49;aadA;allele_match;aadA_n49;Spectinomycin
aadA10_n2;aadA;allele_match;aadA10_n2;Spectinomycin
aadA11_n1;aadA;allele_match;aadA11_n1;Spectinomycin
aadA12_n1;aadA;allele_match;aadA12_n1;Spectinomycin
aadA13_n2;aadA;allele_match;aadA13_n2;Spectinomycin
aadA15_n4;aadA;allele_match;aadA15_n4;Spectinomycin
aadA16_n2;aadA;allele_match;aadA16_n2;Spectinomycin
aadA2_n18;aadA;allele_match;aadA2_n18;Spectinomycin
aadA2_n2;aadA;allele_match;aadA2_n2;Spectinomycin
aadA2_n29;aadA;allele_match;aadA2_n29;Spectinomycin
aadA2_n31;aadA;allele_match;aadA2_n31;Spectinomycin
aadA2_n5;aadA;allele_match;aadA2_n5;Spectinomycin
aadA22_n1;aadA;allele_match;aadA22_n1;Spectinomycin
aadA22_n2;aadA;allele_match;aadA22_n2;Spectinomycin
aadA22_n3;aadA;allele_match;aadA22_n3;Spectinomycin
aadA25_n2;aadA;allele_match;aadA25_n2;Streptomycin
aadA3_n2;aadA;allele_match;aadA3_n2;Streptomycin
aadA4_n2;aadA;allele_match;aadA4_n2;Spectinomycin
aadA5_n1;aadA;allele_match;aadA5_n1;Streptomycin
aadA5_n14;aadA;allele_match;aadA5_n14;Streptomycin
aadA5_n15;aadA;allele_match;aadA5_n15;Streptomycin
aadA5_n17;aadA;allele_match;aadA5_n17;Streptomycin
aadA5_n20;aadA;allele_match;aadA5_n20;Streptomycin
aadA5_n21;aadA;allele_match;aadA5_n21;Streptomycin
aadA5_n6;aadA;allele_match;aadA5_n6;Streptomycin
aadA5_n9;aadA;allele_match;aadA5_n9;Streptomycin
aadA7_n2;aadA;allele_match;aadA7_n2;Spectinomycin
aadA8_n2;aadA;allele_match;aadA8_n2;Spectinomycin
acrR_R45C_protein;acrR;mutation_search;acrR_n1;Ampicillin
ampC_n1;ampC;allele_match;ampC_n1;
ant(2'')-Ia_n12;ant(2'')-Ia;allele_match;ant(2'')-Ia_n12;Gentamicin
ant(2'')-Ia_n17;ant(2'')-Ia;allele_match;ant(2'')-Ia_n17;Gentamicin
ant(2'')-Ia_n3;ant(2'')-Ia;allele_match;ant(2'')-Ia_n3;Gentamicin
ant(3'')-Ia_n4;ant(3'')-Ia;allele_match;ant(3'')-Ia_n4;Spectinomycin
aph(3'')-Ib_n1;aph(3'')-Ib;allele_match;aph(3'')-Ib_n1;Streptomycin
aph(3'')-Ib_n3;aph(3'')-Ib;allele_match;aph(3'')-Ib_n3;Streptomycin
aph(3'')-Ib_n5;aph(3'')-Ib;allele_match;aph(3'')-Ib_n5;Streptomycin
aph(3')-Ia_n1;aph(3')-Ia;allele_match;aph(3')-Ia_n1;Kanamycin
aph(3')-Ia_n11;aph(3')-Ia;allele_match;aph(3')-Ia_n11;Kanamycin
aph(3')-Ia_n3;aph(3')-Ia;allele_match;aph(3')-Ia_n3;Kanamycin
aph(3')-Ia_n5;aph(3')-Ia;allele_match;aph(3')-Ia_n5;Kanamycin
aph(3')-Ia_n6;aph(3')-Ia;allele_match;aph(3')-Ia_n6;Kanamycin
aph(3')-Ia_n8;aph(3')-Ia;allele_match;aph(3')-Ia_n8;Kanamycin
aph(3')-Ib_n2;aph(3')-Ib;allele_match;aph(3')-Ib_n2;Kanamycin
aph(3')-IIa_n1;aph(3')-IIa;allele_match;aph(3')-IIa_n1;Kanamycin
aph(3')-VI_n1;aph(3')-VI;allele_match;aph(3')-VI_n1;Amikacin
aph(4)-Ia_n1;aph(4)-Ia;allele_match;aph(4)-Ia_n1;Hygromycin
aph(6)-Id_n2;aph(6)-Id;allele_match;aph(6)-Id_n2;Streptomycin
aph(6)-Id_n3;aph(6)-Id;allele_match;aph(6)-Id_n3;Streptomycin
aph(6)-Id_n4;aph(6)-Id;allele_match;aph(6)-Id_n4;Streptomycin
aph(6)-Id_n5;aph(6)-Id;allele_match;aph(6)-Id_n5;Streptomycin
armA_n1;armA;allele_match;armA_n1;Amikacin
blaACT-15_n1;blaACT-15;allele_match;blaACT-15_n1;Amoxicillin
blaCARB-2_n1;blaCARB;allele_match;blaCARB-2_n1;Amoxicillin
blaCARB-4_n1;blaCARB;allele_match;blaCARB-4_n1;Amoxicillin
blaCMY-111_n1;blaCMY;allele_match;blaCMY-111_n1;Amoxicillin
blaCMY-13_n1;blaCMY;allele_match;blaCMY-13_n1;Amoxicillin
blaCMY-138_n1;blaCMY;allele_match;blaCMY-138_n1;Cephalosporins
blaCMY-14_n1;blaCMY;allele_match;blaCMY-14_n1;Cephalosporins
blaCMY-149_n1;blaCMY;allele_match;blaCMY-149_n1;Cephalosporins
blaCMY-15_n1;blaCMY;allele_match;blaCMY-15_n1;Cephalosporins
blaCMY-153_n1;blaCMY;allele_match;blaCMY-153_n1;Cephalosporins
blaCMY-16_n1;blaCMY;allele_match;blaCMY-16_n1;Cephalosporins
blaCMY-17_n1;blaCMY;allele_match;blaCMY-17_n1;Amoxicillin
blaCMY-2_n1;blaCMY;allele_match;blaCMY-2_n1;Amoxicillin
blaCMY-2_n2;blaCMY;allele_match;blaCMY-2_n2;Amoxicillin
blaCMY-33_n1;blaCMY;allele_match;blaCMY-33_n1;Amoxicillin
blaCMY-4_n1;blaCMY;allele_match;blaCMY-4_n1;Amoxicillin
blaCMY-42_n1;blaCMY;allele_match;blaCMY-42_n1;Amoxicillin
blaCMY-61_n1;blaCMY;allele_match;blaCMY-61_n1;Amoxicillin
blaCMY-69_n1;blaCMY;allele_match;blaCMY-69_n1;Amoxicillin
blaCMY-7_n1;blaCMY;allele_match;blaCMY-7_n1;Amoxicillin
blaCMY-74_n1;blaCMY;allele_match;blaCMY-74_n1;Cephalosporins
blaCMY-93_n1;blaCMY;allele_match;blaCMY-93_n1;Amoxicillin
blaCMY-94_n1;blaCMY;allele_match;blaCMY-94_n1;Amoxicillin
blaCMY-95_n1;blaCMY;allele_match;blaCMY-95_n1;Amoxicillin
blaCTX-M-1_n1;blaCTX-M;allele_match;blaCTX-M-1_n1;Amoxicillin
blaCTX-M-114_n1;blaCTX-M;allele_match;blaCTX-M-114_n1;Amoxicillin
blaCTX-M-138_n1;blaCTX-M;allele_match;blaCTX-M-138_n1;Amoxicillin
blaCTX-M-139_n1;blaCTX-M;allele_match;blaCTX-M-139_n1;Amoxicillin
blaCTX-M-142_n1;blaCTX-M;allele_match;blaCTX-M-142_n1;Amoxicillin
blaCTX-M-15_n1;blaCTX-M;allele_match;blaCTX-M-15_n1;Amoxicillin
blaCTX-M-154_n1;blaCTX-M;allele_match;blaCTX-M-154_n1;Cephalosporins
blaCTX-M-16_n1;blaCTX-M;allele_match;blaCTX-M-16_n1;Amoxicillin
blaCTX-M-163_n1;blaCTX-M;allele_match;blaCTX-M-163_n1;Amoxicillin
blaCTX-M-164_n1;blaCTX-M;allele_match;blaCTX-M-164_n1;Cephalosporins
blaCTX-M-182_n1;blaCTX-M;allele_match;blaCTX-M-182_n1;Amoxicillin
blaCTX-M-183_n1;blaCTX-M;allele_match;blaCTX-M-183_n1;Cephalosporins
blaCTX-M-184_n1;blaCTX-M;allele_match;blaCTX-M-184_n1;Amoxicillin
blaCTX-M-186_n1;blaCTX-M;allele_match;blaCTX-M-186_n1;Amoxicillin
blaCTX-M-188_n1;blaCTX-M;allele_match;blaCTX-M-188_n1;Amoxicillin
blaCTX-M-191_n1;blaCTX-M;allele_match;blaCTX-M-191_n1;Cephalosporins
